Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",100822,02/22/2021,04/07/2021,Exchange-Individual Hlth,No SubCov - AH,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Nationwide Life Insurance Company,903998,09/05/2019,09/25/2019,,,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Unjustified,0.00,Closed
Century-National Insurance Company,100676,02/11/2021,02/26/2021,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,2399,06/02/2020,06/30/2020,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Nationwide Mutual Insurance Company,903408,07/30/2019,08/19/2019,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Premier LIfe Insurance Company,905486,12/09/2019,04/16/2021,Individual Life,Universal Life,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Federal Insurance Company,904192,09/18/2019,10/08/2019,Limited Benefit Health,In-Patient,Unfair Claims Practice,Denial of Claim,Claim Settled,Furnished Information,600.00,Closed
ConnectiCare Inc,3053,07/22/2020,08/14/2020,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium Refund Delay,Furnished Information,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,903795,08/22/2019,12/04/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Corrective Action,Justified,4609.17,Closed
GEICO General Insurance Company,201,01/15/2020,02/11/2020,Auto Medical Payment,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",1442,03/30/2020,04/03/2020,A & H,COVID-19,Unfair Claims Practice,Provider Contract Issue,Additional Money Received,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,904724,10/21/2019,11/01/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Company Position Upheld,Unjustified,0.00,Closed
Century-National Insurance Company,2652,06/22/2020,07/06/2020,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
Utica Mutual Insurance Company,1374,03/25/2020,04/20/2020,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
United American Insurance Company,2733,06/29/2020,07/13/2020,Ind Medicare Supplemental,No SubCov - AH,Premium and Rating,Premium Refund Delay,Premium Refund,Furnished Information,486.22,Closed
Transamerica Premier LIfe Insurance Company,3495,08/20/2020,08/21/2020,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Nationwide Property & Casualty Insurance Company,100620,02/09/2021,03/10/2021,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
Federal Insurance Company,806,02/21/2020,03/19/2020,,,Marketing/Sales,Misrepresentation,Premium Refund,Furnished Information,2184.00,Closed
Genworth Life and Annuity Insurance Company,100650,02/11/2021,02/25/2021,Individual Life,Term Life,Premium and Rating,Premium Refund Delay,Corrective Action,Questionable,576.25,Closed
State Farm Mutual Automobile Insurance Company,2461,06/05/2020,06/16/2020,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,298,01/22/2020,02/13/2020,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Main Street America Assurance Company,4944,11/24/2020,12/03/2020,General Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,904185,09/18/2019,10/02/2019,Group Disability Income,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",905002,11/06/2019,03/16/2020,Group Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Furnished Information,749.00,Closed
USAA General Indemnity Company,100570,02/08/2021,03/04/2021,,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Questionable,0.00,Closed
Transamerica Premier LIfe Insurance Company,903823,08/26/2019,09/27/2019,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,26881.22,Closed
"Anthem Health Plans, Inc",4339,10/19/2020,11/05/2020,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,83.50,Closed
Ameritas Life Insurance Corp.,903951,09/03/2019,09/27/2019,Vision,No SubCov - AH,Marketing/Sales,Misleading Advertising,Contract Provision,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,904937,11/01/2019,12/04/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",4306,10/15/2020,10/28/2020,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Narragansett Bay Insurance Company,100810,02/22/2021,03/08/2021,Homeowners,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
United Services Automobile Association,902069,05/08/2019,07/15/2019,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,2664,06/23/2020,07/08/2020,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Inter-Company Arbitration,Unjustified,0.00,Closed
Riverport Insurance Company,901607,04/08/2019,04/08/2019,Worker's Compensation,,Premium and Rating,Audit,Company Position Upheld,Unjustified,0.00,Closed
Property and Casualty Insurance Company of Hartford,904795,10/24/2019,11/29/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",1396,03/26/2020,04/02/2020,A & H,COVID-19,Unfair Claims Practice,Unsatisfactory Settlement,Satisfied,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,905466,12/09/2019,03/10/2020,Group Health,Occupational Therapy,Unfair Claims Practice,Provider Contract Issue,Provider Issue,Furnished Information,0.00,Closed
"Oxford Health Plans (CT), Inc",904162,09/17/2019,09/26/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,121.00,Closed
ConnectiCare Inc,903953,09/03/2019,10/15/2019,Group Health,Cancer Related,Utilization Review,Time Delay,Furnished Information,Furnished Information,0.00,Closed
GEICO Casualty Company,3265,08/06/2020,09/03/2020,Auto,,Unfair Claims Practice,Labor Rate,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,905696,12/27/2019,01/13/2020,Individual Long Term Care,Skill Nurs/Home Hth Care,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,2038,05/05/2020,06/04/2020,,,Unfair Claims Practice,Loss of Use,Corrective Action,Justified,480.00,Closed
Kemper Independence Insurance Company,2,01/02/2020,01/14/2020,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
GEICO Indemnity Company,1590,04/07/2020,04/27/2020,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,903173,07/19/2019,08/13/2019,Auto,,Unfair Claims Practice,Steering,Company Position Upheld,Unjustified,0.00,Closed
Esurance Insurance Company,1142,03/12/2020,04/15/2020,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Privilege Underwriters Reciprocal Exchange,26,01/03/2020,01/16/2020,,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,0.00,Closed
USAA General Indemnity Company,3457,08/18/2020,09/03/2020,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Claim Settled,Unjustified,466.73,Closed
Kemper Independence Insurance Company,608,02/07/2020,04/13/2020,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Justified,2125.53,Closed
Colorado Bankers Life Insurance Company,18,01/03/2020,01/15/2020,Individual Life,Other,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
American Strategic Insurance Corp.,905437,12/06/2019,02/26/2020,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
American Modern Home Insurance Company,903301,07/24/2019,08/19/2019,Dwelling Fire,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,2789,07/01/2020,07/09/2020,Group Health,Out-Patient,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",101034,03/08/2021,03/22/2021,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Policy Service Delay,Satisfactory Explanation,Furnished Information,0.00,Closed
Reliance Standard Life Insurance Company,2377,06/01/2020,06/12/2020,Group Life,Term Life,Unfair Claims Practice,Claim Procedure,Corrective Action,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,100893,02/26/2021,03/15/2021,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,902903,07/02/2019,07/17/2019,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,0.00,Closed
CSAA Affinity Insurance Company,4713,11/10/2020,12/03/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Main Street America Assurance Company,903166,07/18/2019,08/12/2019,Commercial Multi-Peril,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Privilege Underwriters Reciprocal Exchange,100866,02/25/2021,03/16/2021,,,Unfair Claims Practice,Unsatisfactory Offer,Complaint Withdrawn,No Action Necessary,0.00,Closed
HumanaDental Insurance Company,903136,07/17/2019,07/25/2019,Dental,Dental,Premium and Rating,Premium Refund Delay,Premium Refund,Furnished Information,12.37,Closed
Lemonade Insurance Company,100618,02/09/2021,02/19/2021,Portable Electronics Ins,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,1930,04/28/2020,05/13/2020,Individual Health,Dental,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
ConnectiCare Inc,4967,11/27/2020,12/14/2020,,,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,2529,06/10/2020,07/07/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Garrison Property and Casualty Insurance Company,4748,11/12/2020,11/27/2020,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",1591,04/07/2020,04/20/2020,Individual Health,MRI,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,4861,11/19/2020,12/04/2020,,,Unfair Claims Practice,Storage Fees,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,3578,08/26/2020,08/31/2020,Ind Medicare Supplemental,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Policy Not In Force,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",101479,04/05/2021,04/20/2021,Exchange-Individual Hlth,Lab Services,Utilization Review,Medical Necessity,Contract Provision,Furnished Information,0.00,Closed
Jackson National Life Insurance Company,904830,10/28/2019,11/18/2019,Individual Annuity,Variable Annuity,Marketing/Sales,Producer Handling,Contract Provision,Unjustified,0.00,Closed
GEICO Indemnity Company,100249,01/19/2021,02/09/2021,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,903224,07/22/2019,07/22/2019,,,No Jurisdiction,Medicare HMO,Federal,No Authority,0.00,Closed
"ConnectiCare Benefits, Inc.",2913,07/10/2020,08/13/2020,Exchange-Individual Hlth,Durable Medical Equipment,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,332.50,Closed
Progressive Direct Insurance Company,100567,02/05/2021,03/29/2021,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,4584,11/02/2020,12/09/2020,Ind Medicare Supplemental,No SubCov - AH,Premium and Rating,No Subreason,Furnished Information,Furnished Information,0.00,Closed
United States Liability Insurance Company,1630,04/08/2020,04/21/2020,General Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
CSAA General Insurance Company,714,02/18/2020,03/02/2020,Tenant Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Quincy Mutual Fire Insurance Company,3042,07/22/2020,07/31/2020,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Prudential Insurance Company of America,1277,03/20/2020,04/20/2020,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Delays,Coverage Granted,Furnished Information,0.00,Closed
Liberty Mutual Insurance Company,100396,01/26/2021,02/05/2021,Auto Liability,,Unfair Claims Practice,Diminished Value,Claim Settled,Justified,8297.00,Closed
Plymouth Rock Home Assurance Corporation,802862,06/20/2018,08/27/2018,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,525,02/04/2020,02/05/2020,Auto Physical Damage,,No Jurisdiction,Other state DOI,Policy not written in CT,No Authority,0.00,Closed
Genworth Life Insurance Company,904619,10/11/2019,10/25/2019,Individual Long Term Care,Partnership,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,902992,07/09/2019,08/19/2019,Auto Liability,,Unfair Claims Practice,Diminished Value,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,464,01/31/2020,02/18/2020,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Hartford Insurance Company of the Southeast,4547,10/28/2020,11/17/2020,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,904895,10/30/2019,11/22/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Century-National Insurance Company,4676,11/06/2020,11/23/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Harvard Pilgrim Health Care of Connecticut, Inc.",903905,08/29/2019,10/11/2019,Group Health,Out-Patient,Utilization Review,UR Procedure,Provider Issue,Furnished Information,0.00,Closed
New London County Mutual Insurance Company,428,01/28/2020,02/21/2020,Dwelling Fire,,Premium and Rating,Excessive Charges,Non-Renewal Upheld,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,903832,08/26/2019,09/19/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Corrective Action,Questionable,0.00,Closed
United States Fire Insurance Company,2059,05/06/2020,10/08/2020,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
State Farm Fire & Casualty Company,100391,01/26/2021,02/10/2021,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Life Insurance Company,904719,10/18/2019,11/07/2019,Individual Life,Term Life,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,902591,06/10/2019,08/08/2019,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
GEICO General Insurance Company,5357,12/29/2020,01/11/2021,Auto,,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,0.00,Closed
Travelers Indemnity Company (The),3924,09/18/2020,10/21/2020,Commercial Auto,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,3200.00,Closed
State Farm Mutual Automobile Insurance Company,903263,07/23/2019,08/15/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
American Strategic Insurance Corp.,101022,03/08/2021,03/25/2021,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Hartford Life and Accident Insurance Company,100352,01/22/2021,02/08/2021,Group Disability Income,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Claim Settled,Furnished Information,200.00,Closed
National Guardian Life Insurance Company,903563,08/08/2019,09/03/2019,Group Health,Student Accident/Sickness,Underwriting,Cancellation,Furnished Information,Furnished Information,0.00,Closed
Travelers Property Casualty Company of America,1476,03/31/2020,04/16/2020,Commercial Multi-Peril,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Utica Mutual Insurance Company,905718,12/31/2019,01/15/2020,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",5075,12/07/2020,12/22/2020,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Furnished Information,0.00,Closed
GEICO Casualty Company,904852,10/29/2019,12/13/2019,Auto,,Marketing/Sales,Failed to Remit Premium,Satisfactory Explanation,Unjustified,0.00,Closed
Nationwide Agribusiness Insurance Company,1688,04/13/2020,04/24/2020,Commercial Multi-Peril,,Unfair Claims Practice,Unsatisfactory Offer,Contract Provision,Unjustified,0.00,Closed
ACE American Insurance Company,3218,08/03/2020,08/17/2020,Inland Marine,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allstate Property and Casualty Insurance Company,1423,03/27/2020,04/15/2020,Auto Liability,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
LM General Insurance Company,568,02/06/2020,03/17/2020,Auto,,Premium and Rating,Premium/Notice,Corrective Action,Justified,320.00,Closed
American Commerce Insurance Company,4,01/02/2020,01/10/2020,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Utica First Insurance Company,903029,07/10/2019,08/01/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Property and Casualty Insurance Company of Hartford,2851,07/07/2020,07/28/2020,Personal Umbrella,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",904889,10/30/2019,11/19/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Justified,0.00,Closed
UNUM Life Insurance Company of America,4603,11/02/2020,11/16/2020,Group Disability Income,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Standard Fire Insurance Company (The),733,02/18/2020,03/03/2020,Condo Unit Owner,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Harvard Pilgrim Health Care of Connecticut, Inc.",904753,10/22/2019,11/08/2019,Group Health,Out-Patient,Utilization Review,Contract Provision,Coverage Granted,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",3936,09/21/2020,10/23/2020,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Justified,165.08,Closed
Transamerica Life Insurance Company,272,01/21/2020,02/03/2020,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Travelers Home and Marine Insurance Company (The),100142,01/12/2021,02/04/2021,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Aetna Health and Life Insurance Company,100247,01/19/2021,02/04/2021,Group Health,Prescription,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
Life Insurance Company of North America,101285,03/22/2021,04/08/2021,Group Disability Income,Short Term Group,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
LM General Insurance Company,100250,01/19/2021,02/04/2021,Auto Physical Damage,,Unfair Claims Practice,Storage Fees,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",902886,07/01/2019,07/22/2019,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",578,02/06/2020,02/28/2020,Group Health,No SubCov - AH,Utilization Review,Medical Necessity,Company Position Upheld,Furnished Information,0.00,Closed
Trumbull Insurance Company,902605,06/10/2019,07/15/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,2527,06/10/2020,06/10/2020,Group Health,No SubCov - AH,Utilization Review,Case Management,Med Jurisdiction Explained,Furnished Information,0.00,Closed
John Hancock Life Insurance Company (USA),903762,08/20/2019,08/30/2019,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,2251,05/21/2020,06/15/2020,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",905524,12/12/2019,01/06/2020,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,5115.30,Closed
UnitedHealthcare Insurance Company,1168,03/13/2020,03/30/2020,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,374.65,Closed
"Oxford Health Insurance, Incorporated",902965,07/08/2019,07/23/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,175.66,Closed
Transamerica Life Insurance Company,1905,04/27/2020,05/04/2020,,,Unfair Claims Practice,Claim Procedure,Claim Settled,No Action Necessary,0.00,Closed
Lincoln National Life Insurance Company (The),1432,03/30/2020,04/09/2020,,,Unfair Claims Practice,Denial of Claim,Complaint Withdrawn,No Action Necessary,0.00,Closed
Aetna Life Insurance Company,905643,12/23/2019,01/08/2020,Group Health,Radiology,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
New London County Mutual Insurance Company,904417,10/01/2019,10/25/2019,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
Patrons Mutual Insurance Company of Connecticut,1147,03/12/2020,03/30/2020,General Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Markel Insurance Company,904991,11/06/2019,12/04/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,3350.00,Closed
Liberty Insurance Corporation,1057,03/09/2020,04/09/2020,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
National Casualty Company,902693,06/19/2019,07/15/2019,Other [Enter Coverage],,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Great Northern Insurance Company,905557,12/16/2019,01/08/2020,Auto Physical Damage,,Unfair Claims Practice,Diminished Value,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",904530,10/07/2019,12/20/2019,Ind Medicare Supplemental,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,120.20,Closed
Guarantee Trust Life Insurance Company,5299,12/22/2020,01/14/2021,Spec Disease-Individual,Cancer Related,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
North American Company for Life & Health Insurance,1730,04/15/2020,04/16/2020,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Allied World National Assurance Company,903595,08/09/2019,08/30/2019,General Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,903021,07/10/2019,08/12/2019,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,1287.50,Closed
"ConnectiCare Insurance Company, Inc",100339,01/22/2021,02/10/2021,Group Health,No SubCov - AH,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",100174,01/13/2021,01/29/2021,A & H,No SubCov - AH,Marketing/Sales,Policy Issue Delay,Furnished Information,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,3778,09/09/2020,09/25/2020,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Permanent General Assurance Corporation,3184,07/30/2020,08/19/2020,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Justified,0.00,Closed
Trumbull Insurance Company,101030,03/08/2021,03/23/2021,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Guardian Insurance & Annuity Company, Inc.",545,02/05/2020,02/26/2020,,,Marketing/Sales,Misleading Advertising,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,100654,02/11/2021,02/25/2021,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Travelers Property Casualty Company of America,4331,10/16/2020,11/10/2020,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,4139,10/05/2020,11/04/2020,Mobile Home,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Granite State Insurance Company,905208,11/19/2019,12/11/2019,General Liability,,Unfair Claims Practice,Unsatisfactory Offer,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Anthem Life Insurance Company,903891,08/28/2019,10/02/2019,Group Disability Income,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Coverage Extended,Furnished Information,10407.00,Closed
LM General Insurance Company,281,01/21/2020,02/11/2020,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,902996,07/09/2019,07/22/2019,Group Disability Income,Long Term Group,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Provident Life and Accident Insurance Company,2736,06/29/2020,07/09/2020,Ind Disability Income,No SubCov - AH,Marketing/Sales,Policy Service,Furnished Information,Furnished Information,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",2074,05/07/2020,08/24/2020,Travel Insurance,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
Property and Casualty Insurance Company of Hartford,904606,10/10/2019,11/18/2019,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,904671,10/16/2019,11/20/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Connecticut General Life Insurance Company,3172,07/29/2020,08/26/2020,Group Life,Term Life,Unfair Claims Practice,Claim Delays,Furnished Information,Unjustified,0.00,Closed
AmGUARD Insurance Company,4581,10/30/2020,12/21/2020,,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Justified,0.00,Closed
Allstate Insurance Company,2902,07/10/2020,08/07/2020,Homeowners,,Premium and Rating,Excessive Charges,Premium Refund,Justified,4688.00,Closed
American Commerce Insurance Company,4536,10/28/2020,11/16/2020,Homeowners,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,0.00,Closed
John Hancock Life Insurance Company (USA),904156,09/16/2019,10/21/2019,Individual Life,Term Life,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
